Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Author
string,time,discrete,discrete,continuous,continuous,discrete,discrete,string,continuous,continuous,continuous,continuous,continuous,discrete,continuous,continuous,discrete
meta title=True,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta
"@nathhraw @skep2077 @bjdaglai Quando a Lei Áurea foi assinada, havia cerca de 700 mil escravos no Brasil. Numa população total de quase 15 milhões. Ou seja, ""apenas"" 4,6% da população era escrava.

No Haiti, a proporção era de 89% DE ESCRAVIZADOS.

Não estávamos perto de ter um revolta como a haitiana.",2020-10-30 18:45:48,pt,,0.0,0.0,@nathhraw,União Imperial Brasileira,"Nem Esquerda nem Direita.
Nosso foco é a Coroa!!!

Junte-se à União Imperial 👇🏼👇🏼👇🏼",5324.0,3430.0,1226.0,1297.0,2.0,False,,,@uniaoimperialbr
"KKKKKKKK sugiro que o @joaovitorxavier puxe a água de canudinho. Pode começar agora nesse feriado KKKKKK

https://t.co/yD0uHLldBU via @portalr7",2020-10-30 18:45:07,pt,,28.0,0.0,,,Agente do caos.,86267.0,15396.0,219.0,9824.0,26.0,False,,,@baudocectt
"Exatamente!! Os que estão usando o Fundão estão à  frente nas pesquisas. Temos que fazer campanha!
Gustavo GAYER para prefeitura de Goiânia 
Bruno ENGLER para a prefeitura de BH https://t.co/xVK47WCPzo",2020-10-30 18:44:22,pt,,0.0,2.0,,🇧🇷Dia 01/11 Vai Ser Gigante,"Patriota, Direita RAIZ, Armamentista, Conservadora e BOLSONARISTA até à  alma. 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷",13035.0,28961.0,3869.0,3938.0,0.0,False,,,@CaramRosangela
Falou bem! Falou tudo! https://t.co/ElFiZI1jBZ,2020-10-30 18:44:10,pt,,0.0,0.0,,Aurea,"avó da Laura, agnóstica, especialista em ensino da língua inglesa, tradutora, escrevo se me dói, formada em direito, cansada de loucuras que atrapalham a minha",6436.0,4436.0,1818.0,1411.0,3.0,False,,,@Aurea_AKAGoldie
Ce tá me tirando n é possível,2020-10-30 18:42:04,pt,,1.0,0.0,,KaL1L,Construindo Minha Vibe no stu...,6153.0,3537.0,340.0,351.0,0.0,False,,,@Thur_kalil
"Por nossa cidade😎🇧🇷 precisamos tirar o ditador da cadeira!
Bruno Engler 28 @BrunoEnglerDM esse é o candidato e será o prefeito de Belo Horizonte 🥰 https://t.co/ivlZiu6LMx",2020-10-30 18:39:34,pt,,16.0,7.0,,Gleice Bolsonaro 💯%🇧🇷😎🇺🇸💪🏻,Mãe😉patriota🇧🇷Hidroxicloroquina e azitromicina😎🍷🎼Bolsonaro até 2026🇧🇷🥳😎👨‍✈️#MoroTraidor🇧🇷🇧🇷 Bolsonaro tem razão 🙏🏻 comunismo é 😈,14271.0,59322.0,6275.0,6081.0,0.0,False,,,@glma38hidro
@iranbarbosa Se alagar o gabinete do prefeito  até a cintura do Kalil  você vai ter um problema sério pra respirar...,2020-10-30 18:39:19,pt,,0.0,0.0,@iranbarbosa,Rurik Asimov,"ant-social
 cor: verde 
 Time: Atlético MG (Galo )
animal: cachorro 
 país : Portugal
ORG 🇷🇺+🇧🇷",1623.0,212.0,108.0,71.0,0.0,False,,,@angeloMMJat
Que agonia João Vitor Xavier falando que vai recuperar a dignidade de pessoas em situação de rua,2020-10-30 18:38:39,pt,,2.0,0.0,,Débora,"'Infelizmente somos humanos'. ALVES, Diego",14491.0,8213.0,200.0,288.0,0.0,False,,,@_doraescorpiana
@UnerAugusto @BrunoEnglerDM @alesilva_38 É pra botar o terror mesmo! Por isso acho que os eleitores do Kalil deveriam seguir o “chefe” e FICAR EM CASA no dia das eleições... hehehehe,2020-10-30 18:38:38,pt,,9.0,2.0,@UnerAugusto,Letícia Maria Carvalho Salles,"🌺Alegrar-se com a beleza, reverenciar a bondade, iluminar-se com a verdade || 🇧🇷 Terra de Santa Cruz || 👩🏻‍⚕️Médica - pediatra - intensivista",158.0,2375.0,109.0,36.0,2.0,False,,,@lm_oacsalles
"@BrunoEnglerDM tem que vencer, Kalil irá acabar com BH..
Pensem bem. https://t.co/dhNEkIxw5t",2020-10-30 18:38:18,pt,,0.0,0.0,@BrunoEnglerDM,#BolsonaroAte2026,"A PESTE CHINESA CAUSOU MUITO ESTRAGO, NÃO POR SUA LETALIDADE, MAS SIM, POR CAUSA DA SEDE DE PODER. JUÍZES, POLÍTICOS E A OMS PRECISAM PAGAR POR TODO PREJUÍZO.",16087.0,45499.0,731.0,357.0,0.0,False,,,@Alexandreofbh1
